Grant!!;MD2;ASWSNA20106 ;10.150.8.62;XS046480;2022/12/06;21:24:22:353
TimeOut!!;HD2;ASWSNA20106 ;10.150.8.62;XS046480;2022/12/06;21:42:02:069
TimeOut!!;MD2;ASWSNA20106 ;10.150.8.62;XS046480;2022/12/06;21:42:02:069
Grant!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:42:57:504
Grant!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:42:57:770
Detachment!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:46:03:305
Detachment!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:46:03:461
Grant!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:55:36:339
Grant!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;21:55:36:714
Detachment!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:01:08:036
Detachment!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:01:08:411
Grant!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:01:10:381
Grant!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:01:10:772
Detachment!!;HD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:03:25:498
Detachment!!;MD2;ASWSNA20106 ;10.150.8.97;XS046480;2022/12/06;22:03:25:670
TimeOut!!;MD2;ASWSNA20107 ;10.150.0.185;XX000447;2022/12/07;08:08:02:713
TimeOut!!;AM2;ASWSNA20107 ;10.150.0.185;XX000447;2022/12/07;08:08:02:713
Grant!!;MD2;ASWSNA20145 ;10.150.8.119;XS130005;2022/12/07;08:27:40:308
Detachment!!;MD2;ASWSNA20145 ;10.150.8.119;XS130005;2022/12/07;15:51:49:195
Grant!!;SXT;ASWSNA20164 ;10.150.8.143;XS190516;2022/12/08;01:53:38:294
Detachment!!;SXT;ASWSNA20164 ;10.150.8.143;XS190516;2022/12/08;01:59:56:680
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;03:00:17:520
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;03:00:49:483
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;03:01:29:743
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;04:19:07:068
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;04:45:23:697
Detachment!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;04:49:09:381
Grant!!;HD2-FS1KT1;ASWSCO20149 ;10.230.153.14;XX002466;2022/12/08;04:49:38:339
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:02:454
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:03:657
Grant!!;MD2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:19:735
Grant!!;AM2;ASWSNA20107 ;10.150.8.118;XX000447;2022/12/08;08:54:19:985
