Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;12:50:46:355
Grant!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/07;13:12:26:431
Detachment!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/07;13:41:20:247
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/07;14:22:52:154
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/07;14:30:20:355
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;14:37:36:643
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;14:37:37:034
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;14:37:50:854
Grant!!;MD1;ASWMON00110 ;10.230.117.51;XS032965;2022/10/07;14:43:57:145
Detachment!!;MD1;ASWMON00110 ;10.230.117.51;XS032965;2022/10/07;14:45:27:110
Grant!!;MD1;ASWMON00110 ;10.230.117.51;XS032965;2022/10/07;14:45:57:314
Detachment!!;MD1;ASWMON00110 ;10.230.117.51;XS032965;2022/10/07;14:46:51:101
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/07;14:51:42:771
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/07;14:55:16:047
Detachment!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/07;15:51:18:656
Detachment!!;MD2;ASWMON20028 ;10.230.117.190;XS105877;2022/10/07;15:52:50:057
Detachment!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/07;15:54:47:047
Detachment!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/07;17:10:16:398
Detachment!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/07;17:10:53:346
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/07;18:42:57:861
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/08;05:00:47:984
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/08;05:21:56:975
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/08;06:00:10:867
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/08;06:09:10:360
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/08;07:17:05:153
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/08;08:32:33:128
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/08;08:42:21:375
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/09;18:15:44:788
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/09;18:57:06:473
Grant!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/09;20:25:32:463
TimeOut!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/09;20:43:11:485
Grant!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/09;22:52:09:292
TimeOut!!;FTA;ASWMON00018 ;192.168.130.246;xs052378;2022/10/09;23:09:48:297
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/10;01:43:54:336
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/10;01:50:04:597
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/10;05:15:53:036
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/10;06:39:35:280
Grant!!;MD2;ASWMON00082 ;10.230.117.155;XS034893;2022/10/10;07:33:49:545
Grant!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/10;07:34:05:083
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;07:51:43:334
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;07:53:04:433
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;07:53:24:357
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/10;08:09:22:345
Grant!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/10;08:34:35:904
TimeOut!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/10;09:40:57:562
