MK1;SHA;1;DELMIA V5;KKZ-42661C6F695667C0;MK1_V6_KKZ-42661C6F695667C0_DELMIA V5;
MNV;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;MNV_V6_KKZ-42661C6F695667C0_DELMIA V5;
MP2;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;MP2_V6_KKZ-42661C6F695667C0_DELMIA V5;
MPG;SHA;2;CATIA V5;KKZ-42661C6F695667C0;MPG_V6_KKZ-42661C6F695667C0_CATIA V5;
MPR;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;MPR_V6_KKZ-42661C6F695667C0_DELMIA V5;
MPS;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;MPS_V6_KKZ-42661C6F695667C0_DELMIA V5;
MSA;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;MSA_V6_KKZ-42661C6F695667C0_DELMIA V5;
NCG;CFG;41;CATIA V5;KKZ-42661C6F695667C0;NCG_V6_KKZ-42661C6F695667C0_CATIA V5;
NVG;CFG;41;CATIA V5;KKZ-42661C6F695667C0;NVG_V6_KKZ-42661C6F695667C0_CATIA V5;
OLP;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;OLP_V6_KKZ-42661C6F695667C0_DELMIA V5;
PGE;CFG;42;ENOVIA V6;KKZ-42661C6F695667C0;PGE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
PHS;SHA;2;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;PHS_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
PX1;SHA;11;CATIA V5;KKZ-42661C6F695667C0;PX1_V6_KKZ-42661C6F695667C0_CATIA V5;
QAE;SHA;1;SIMULIA Abaqus Unified FEA;KKZ-42661C6F695667C0;QAE_V6_KKZ-42661C6F695667C0_SIMULIA Abaqus Unified FEA;
QAX;SHA;4;SIMULIA Abaqus Unified FEA;KKZ-42661C6F695667C0;QAX_V6_KKZ-42661C6F695667C0_SIMULIA Abaqus Unified FEA;
QCI;SHA;1;SIMULIA Abaqus Unified FEA;KKZ-42661C6F695667C0;QCI_V6_KKZ-42661C6F695667C0_SIMULIA Abaqus Unified FEA;
